ruolo,nome,squadra,costo
P,Audero,Cremonese,5
P,Bagnolini,Bologna,1
P,Bijlow,Genoa,1
P,Butez,Como,31
P,Caprile,Cagliari,12
P,Carnesecchi,Atalanta,40
P,Cavlina,Como,2
P,Christensen,Fiorentina,1
P,Ciocci,Cagliari,1
P,Contini,Napoli,2
P,Corvi,Parma,2
P,Dajcar,Atalanta,1
P,De Gea,Fiorentina,11
P,Di Gennaro,Inter,2
P,Di Gregorio,Juventus,30
P,Donnarumma,Torino,1
P,Falcone,Lecce,19
P,Fruchtl,Lecce,2
P,Fulignati,Cremonese,13
P,Furlanetto,Lazio,1
P,Gollini,Roma,1
P,Guaita,Parma,6
P,Iliev,Cagliari,1
P,Israel,Torino,7
P,Leali,Genoa,9
P,Lezzerini,Fiorentina,1
P,Loria,Pisa,1
P,Magro,Hellas Verona,1
P,Maignan,Milan,37
P,Malovec,Cremonese,1
P,Mandas,Lazio,1
P,Marin,Roma,1
P,Martinelli,Fiorentina,1
P,Martinez,Inter,5
P,Meret,Napoli,13
P,Milinkovic,Napoli,29
P,Montipò,Hellas Verona,5
P,Moretta,Parma,1
P,Motta,Lazio,1
P,Muric,Sassuolo,3
P,Nava,Cremonese,1
P,Nicolas,Pisa,1
P,Nunziante,Udinese,1
P,Okoye,Udinese,4
P,Padelli,Udinese,2
P,Paleari,Torino,3
P,Perilli,Hellas Verona,1
P,Perin,Juventus,1
P,Pessina,Bologna,4
P,Pezzella,Cremonese,13
P,Piana,Udinese,1
P,Pinsoglio,Juventus,1
P,Popa,Torino,1
P,Provedel,Lazio,28
P,Radunovic,Cagliari,1
P,Ravaglia,Bologna,1
P,Rinaldi,Parma,2
P,Rossi,Atalanta,1
P,Russo,Sassuolo,1
P,Samooja,Lecce,2
P,Saro,Cremonese,1
P,Satalino,Sassuolo,1
P,Sava,Udinese,3
P,Scuffet,Pisa,1
P,Semper,Pisa,5
P,Sherri,Cagliari,1
P,Siegrist,Genoa,1
P,Silvestri,Cremonese,2
P,Skorupski,Bologna,15
P,Sommariva,Genoa,1
P,Sommer,Inter,27
P,Sportiello,Atalanta,1
P,Suzuki,Parma,11
P,Svilar,Roma,34
P,Terracciano,Milan,6
P,Torriani,Milan,2
P,Turati,Sassuolo,7
P,Vasquez,Roma,4
P,Vigorito,Como,2
P,Zacchi,Sassuolo,1
D,Abdulhamid,Roma,8
D,Acerbi,Inter,20
D,Ahanor,Atalanta,16
D,Aidoo,Inter,1
D,Akanji,Inter,28
D,Albiol,Pisa,8
D,Alexiou,Inter,2
D,Amoran,Parma,1
D,Angelino,Roma,7
D,Angori,Pisa,15
D,Arizala,Udinese,4
D,Athekame,Milan,14
D,Azzi,Cremonese,14
D,Bakker,Atalanta,8
D,Balogh,Parma,6
D,Bani,Genoa,19
D,Barbieri,Cremonese,17
D,Bartesaghi,Milan,21
D,Baschirotto,Cremonese,24
D,Bastoni,Inter,36
D,Belghali,Hellas Verona,16
D,Bella-Kotchap,Hellas Verona,14
D,Bellanova,Atalanta,18
D,Bernasconi,Atalanta,13
D,Bertola,Udinese,18
D,Beukema,Napoli,21
D,Bianchetti,Cremonese,16
D,Biraghi,Torino,10
D,Bisseck,Inter,19
D,Bonfanti,Pisa,8
D,Bonifazi,Bologna,3
D,Bozhinov,Pisa,2
D,Bradaric,Hellas Verona,14
D,Bremer,Juventus,35
D,Britschgi,Parma,12
D,Buongiorno,Napoli,27
D,Cabal,Juventus,18
D,Calabrese,Hellas Verona,1
D,Calabresi,Pisa,10
D,Cambiaso,Juventus,26
D,Candé,Sassuolo,8
D,Canestrelli,Pisa,13
D,Caracciolo,Pisa,10
D,Carboni,Parma,8
D,Carlos,Como,15
D,Carlos Augusto,Inter,27
D,Casale,Bologna,10
D,Ceccherini,Cremonese,8
D,Celik,Roma,22
D,Cham,Hellas Verona,3
D,Circati,Parma,13
D,Cittadini,Atalanta,2
D,Cocchi,Inter,2
D,Coco,Torino,23
D,Comi,Atalanta,1
D,Comuzzo,Fiorentina,21
D,Coppola,Pisa,3
D,Corazza,Bologna,2
D,Costa,Juventus,19
D,Coulibaly,Sassuolo,8
D,Cuadrado,Pisa,21
D,Darmian,Inter,9
D,De Silvestri,Bologna,8
D,De Vrij,Inter,11
D,De Winter,Milan,21
D,Del Prato,Parma,23
D,Dembelé,Torino,7
D,Denoon,Pisa,2
D,Di Lorenzo,Napoli,32
D,Dimarco,Inter,57
D,Djalo,Juventus,2
D,Djimsiti,Atalanta,26
D,Dodo,Fiorentina,29
D,Doig,Sassuolo,18
D,Dossena,Cagliari,8
D,Dumfries,Inter,20
D,Ebosse,Torino,6
D,Edmundsson,Hellas Verona,4
D,Ehizibue,Udinese,13
D,Emerson Royal,Milan,9
D,Erlic,Bologna,13
D,Esposito,Lecce,1
D,Esteban,Lecce,2
D,Esteves,Pisa,8
D,Estupinan,Milan,15
D,Faye,Cremonese,9
D,Felipe,Sassuolo,3
D,Floriani Mussolini,Cremonese,10
D,Folino,Cremonese,11
D,Fortini,Fiorentina,10
D,Frese,Hellas Verona,16
D,Gabbia,Milan,26
D,Gabriel,Lecce,13
D,Gallo,Lecce,19
D,Garcia,Sassuolo,8
D,Gaspar,Lecce,14
D,Gatti,Juventus,12
D,Ghilardi,Roma,11
D,Giannetti,Udinese,13
D,Gigot,Lazio,8
D,Gila,Lazio,21
D,Godfrey,Atalanta,4
D,Goglichidze,Udinese,7
D,Goldaniga,Como,8
D,Gonzalez,Juventus,4
D,Gosens,Fiorentina,24
D,Guilbert,Lecce,8
D,Gunter,Hellas Verona,3
D,Gutierrez,Napoli,20
D,Heggem,Bologna,14
D,Helland,Bologna,7
D,Hermoso,Roma,20
D,Hien,Atalanta,24
D,Holm,Juventus,19
D,Hysaj,Lazio,8
D,Idrissi,Cagliari,18
D,Idzes,Sassuolo,23
D,Ilic,Bologna,3
D,Iling-Junior,Pisa,10
D,Ioannou,Como,2
D,Ismajli,Torino,19
D,Jack,Como,2
D,Jean,Lecce,4
D,Jesus,Napoli,16
D,Jimenez,Milan,16
D,Kabasele,Udinese,22
D,Kalulu,Juventus,33
D,Kamara,Udinese,16
D,Kelly,Juventus,23
D,Kempf,Como,26
D,Kolasinac,Atalanta,8
D,Kospo,Fiorentina,1
D,Kossounou,Atalanta,14
D,Kouadio,Fiorentina,2
D,Kouassi,Lecce,7
D,Kristensen,Udinese,12
D,Kumbulla,Roma,9
D,Kumer Celik,Genoa,1
D,Kurti,Hellas Verona,2
D,Lamptey,Fiorentina,7
D,Lazaro,Torino,21
D,Lazzari,Lazio,14
D,Leoni,Parma,17
D,Lirola,Hellas Verona,7
D,Lovik,Parma,8
D,Lucchesi,Fiorentina,2
D,Lucumi,Bologna,24
D,Luis Henrique,Inter,21
D,Luperto,Cremonese,26
D,Lusuardi,Pisa,3
D,Lykogiannis,Bologna,11
D,Mancini,Roma,29
D,Marcandalli,Genoa,11
D,Mari,Fiorentina,11
D,Marianucci,Torino,7
D,Mario,Bologna,9
D,Maripan,Torino,24
D,Martin,Genoa,26
D,Marusic,Lazio,20
D,Masina,Torino,8
D,Mazzocchi,Napoli,8
D,Mbambi,Pisa,5
D,Mina,Cagliari,22
D,Miranda,Bologna,20
D,Missori,Sassuolo,1
D,Mlacic,Udinese,5
D,Modesto,Udinese,8
D,Moreno,Como,15
D,Moreno,Fiorentina,6
D,Moretti,Cremonese,8
D,Muharemovic,Sassuolo,23
D,Ndaba,Lecce,9
D,Ndiaye,Parma,5
D,Ndicka,Roma,22
D,Nelsson,Hellas Verona,9
D,Nkounkou,Torino,8
D,Norton-Cuffy,Genoa,23
D,Nunez,Hellas Verona,12
D,Nuno Tavares,Lazio,13
D,Obert,Cagliari,16
D,Obrador,Torino,7
D,Obric,Atalanta,1
D,Odenthal,Sassuolo,14
D,Odogu,Milan,3
D,Olivera,Napoli,15
D,Ostigard,Genoa,25
D,Otoa,Genoa,4
D,Oyegoke,Hellas Verona,6
D,Palacios,Inter,3
D,Palestra,Cagliari,28
D,Palma,Udinese,3
D,Parisi,Fiorentina,18
D,Patric,Lazio,8
D,Patrick,Hellas Verona,1
D,Pavard,Inter,27
D,Pavlovic,Milan,33
D,Paz,Sassuolo,6
D,Pedersen,Torino,19
D,Pehlivanov,Lecce,2
D,Pellegrini,Lazio,15
D,Pellini,Torino,1
D,Perez,Lecce,2
D,Perez,Torino,1
D,Pezzella,Cremonese,12
D,Pickel,Cremonese,13
D,Pieragnolo,Sassuolo,8
D,Pongracic,Fiorentina,17
D,Posch,Como,18
D,Provstgaard,Lazio,9
D,Quagliata,Cremonese,4
D,Ramon,Como,24
D,Ranieri,Fiorentina,14
D,Raterink,Cagliari,3
D,Ravanelli,Cremonese,8
D,Re Cecconi,Inter,2
D,Rensch,Roma,13
D,Roberto,Como,9
D,Rocchetti,Cremonese,2
D,Rodriguez,Cagliari,5
D,Romagna,Sassuolo,8
D,Romagnoli,Lazio,24
D,Rouhi,Juventus,1
D,Rrahmani,Napoli,24
D,Rugani,Fiorentina,8
D,Rus,Pisa,4
D,Sabelli,Genoa,8
D,Sala,Como,6
D,Salah-Eddine,Roma,7
D,Sangaré,Roma,1
D,Savona,Juventus,19
D,Sazonov,Torino,4
D,Scalvini,Atalanta,21
D,Schuurs,Torino,2
D,Scott,Lecce,2
D,Sernicola,Cremonese,6
D,Siebert,Lecce,7
D,Slotsager,Hellas Verona,4
D,Smolcic,Como,13
D,Solet,Udinese,27
D,Spinazzola,Napoli,31
D,Stuckler,Cremonese,6
D,Sussi,Pisa,1
D,Tchatchoua,Hellas Verona,17
D,Tchoca,Torino,4
D,Terracciano,Cremonese,17
D,Thiaw,Milan,19
D,Tomori,Milan,26
D,Tourè,Udinese,12
D,Trabucchi,Parma,2
D,Tressoldi,Sassuolo,4
D,Troilo,Parma,9
D,Tsimikas,Roma,12
D,Valenti,Parma,11
D,Valentini,Hellas Verona,8
D,Valeri,Parma,23
D,Valle,Como,23
D,Van Der Brempt,Como,10
D,Vasquez,Genoa,25
D,Veiga,Lecce,17
D,Veroli,Cagliari,2
D,Viti,Fiorentina,10
D,Vitik,Bologna,16
D,Vogliacco,Genoa,10
D,Vojvoda,Como,24
D,Walukiewicz,Sassuolo,15
D,Wesley,Roma,29
D,Wieteska,Cagliari,2
D,Yellu,Hellas Verona,7
D,Zaia,Torino,1
D,Zanoli,Udinese,23
D,Zappa,Cagliari,23
D,Zappacosta,Atalanta,30
D,Zatterstrom,Genoa,2
D,Ze Pedro,Cagliari,7
D,Zemura,Udinese,11
D,Ziolkowski,Roma,8
D,Zortea,Bologna,24
C,Abildgaard,Como,4
C,Adli,Milan,15
C,Adopo,Cagliari,24
C,Adzic,Juventus,8
C,Aebischer,Pisa,23
C,Akinsanmiro,Pisa,10
C,Akpa-Akpro,Hellas Verona,8
C,Alli,Como,14
C,Al-Musrati,Hellas Verona,10
C,Amatucci,Fiorentina,1
C,Amorim,Genoa,9
C,Anguissa,Napoli,26
C,Anjorin,Torino,13
C,Arthur,Juventus,12
C,Asllani,Torino,12
C,Atta,Udinese,28
C,Bakola,Sassuolo,5
C,Baldanzi,Genoa,16
C,Baldursson,Bologna,1
C,Ballet,Como,2
C,Barak,Fiorentina,14
C,Barella,Inter,44
C,Basic,Lazio,15
C,Baturina,Como,37
C,Belahyane,Lazio,8
C,Bennacer,Milan,16
C,Berenbruch,Inter,2
C,Berisha,Lecce,18
C,Bernabé,Parma,30
C,Bernardeschi,Bologna,22
C,Bernede,Hellas Verona,24
C,Bianco,Fiorentina,6
C,Bohinen,Genoa,5
C,Boloca,Sassuolo,7
C,Bondo,Cremonese,14
C,Braunöder,Como,6
C,Brescianini,Fiorentina,20
C,Bruno,Sassuolo,2
C,Buchanan,Inter,10
C,Cacciamani,Torino,1
C,Cajuste,Napoli,4
C,Calhanoglu,Inter,49
C,Caligara,Sassuolo,3
C,Caqueret,Como,34
C,Carboni,Genoa,10
C,Casadei,Torino,30
C,Cassa,Atalanta,1
C,Castagnetti,Cremonese,18
C,Cataldi,Lazio,30
C,Cavuoti,Cagliari,3
C,Charlys,Hellas Verona,2
C,Chukwueze,Milan,26
C,Collocolo,Cremonese,9
C,Comotto,Milan,1
C,Coulibaly,Lecce,25
C,Cremaschi,Parma,8
C,Cristante,Roma,30
C,Cuenca,Genoa,1
C,Da Cunha,Como,35
C,D’Andrea,Sassuolo,1
C,De Bruyne,Napoli,26
C,De Roon,Atalanta,32
C,Deiola,Cagliari,15
C,Dele-Bashiru,Lazio,10
C,Di Pardo,Cagliari,6
C,Diouf,Inter,14
C,Douglas Luiz,Juventus,22
C,Ederson,Atalanta,33
C,Ekkelenkamp,Udinese,30
C,El Aynaoui,Roma,13
C,El Azzouzi,Bologna,6
C,El Shaarawy,Roma,25
C,Ellertsson,Genoa,19
C,Elmas,Napoli,25
C,Engelhardt,Como,10
C,Estevez,Parma,17
C,Fabbian,Fiorentina,27
C,Fadera,Sassuolo,23
C,Fagioli,Fiorentina,26
C,Falletti,Cremonese,5
C,Faticanti,Juventus,1
C,Fazzini,Fiorentina,9
C,Ferguson,Bologna,28
C,Fini,Genoa,2
C,Fofana,Milan,30
C,Fofana,Lecce,5
C,Folorunsho,Cagliari,16
C,Frattesi,Inter,21
C,Frendrup,Genoa,32
C,Freuler,Bologna,23
C,Gaetano,Cagliari,32
C,Gagliardini,Hellas Verona,17
C,Gandelman,Lecce,13
C,Ghion,Sassuolo,14
C,Gilmour,Napoli,10
C,Gineitis,Torino,21
C,Gorter,Lecce,2
C,Grassi,Cremonese,11
C,Gronbaek,Genoa,7
C,Guendouzi,Lazio,32
C,Hainaut,Parma,14
C,Harder,Fiorentina,1
C,Harrison,Fiorentina,11
C,Harroui,Hellas Verona,11
C,Hasa,Napoli,2
C,Helgason,Lecce,8
C,Hernani,Parma,13
C,Hojholt,Pisa,9
C,Iannoni,Sassuolo,12
C,Ilic,Torino,10
C,Ilkhan,Torino,8
C,Infantino,Fiorentina,2
C,Jashari,Milan,9
C,Jevsenak,Pisa,3
C,Kaba,Lecce,8
C,Karlstrom,Udinese,19
C,Kastanos,Hellas Verona,8
C,Keita,Parma,23
C,Knezovic,Sassuolo,2
C,Kone,Roma,36
C,Kone,Sassuolo,33
C,Kone,Como,2
C,Koopmeiners,Juventus,28
C,Kostic,Juventus,21
C,Kouda,Parma,3
C,Kumi,Sassuolo,1
C,Lafont,Genoa,1
C,Leone,Sassuolo,1
C,Leris,Pisa,19
C,Liberali,Milan,1
C,Lindstrom,Napoli,11
C,Linetty,Torino,13
C,Lipani,Sassuolo,11
C,Liteta,Cagliari,1
C,Lobotka,Napoli,30
C,Locatelli,Juventus,32
C,Loftus-Cheek,Milan,36
C,Lordkipanidze,Cremonese,5
C,Lorran,Pisa,10
C,Lovric,Hellas Verona,12
C,Loyola,Pisa,10
C,Maldini,Lazio,13
C,Maleh,Cremonese,9
C,Malinovskyi,Genoa,37
C,Mandragora,Fiorentina,36
C,Manzoni,Atalanta,1
C,Marchwinski,Lecce,8
C,Marin,Cagliari,21
C,Marin,Pisa,12
C,Masini,Genoa,16
C,Matic,Sassuolo,26
C,Maucci,Pisa,5
C,Mazzitelli,Cagliari,23
C,Mckennie,Juventus,40
C,Mctominay,Napoli,55
C,Messias,Genoa,18
C,Miller,Udinese,8
C,Miretti,Juventus,21
C,Mitrovic,Hellas Verona,3
C,Mkhitaryan,Inter,30
C,Modric,Milan,42
C,Moro,Bologna,15
C,Musah,Atalanta,15
C,Ndour,Fiorentina,11
C,Ngom,Lecce,4
C,Niasse,Hellas Verona,15
C,Nicolussi Caviglia,Parma,12
C,Onana,Genoa,8
C,Ordonez,Parma,9
C,Oristanio,Parma,12
C,Oudin,Lecce,8
C,Pafundi,Udinese,5
C,Paredes,Roma,24
C,Pasalic,Atalanta,33
C,Payero,Cremonese,18
C,Paz,Como,50
C,Pejicic,Udinese,1
C,Pellegrini,Roma,36
C,Perciun,Torino,2
C,Perrone,Como,35
C,Piccinini,Pisa,17
C,Pierret,Lecce,8
C,Piotrowski,Udinese,17
C,Pisilli,Roma,12
C,Plicco,Parma,2
C,Pobega,Bologna,24
C,Prati,Torino,20
C,Przyborek,Lazio,7
C,Rabiot,Milan,45
C,Racic,Sassuolo,4
C,Rafia,Lecce,6
C,Ramadani,Lecce,19
C,Ricci,Milan,30
C,Richardson,Fiorentina,8
C,Rog,Cagliari,4
C,Romano,Roma,1
C,Rovella,Lazio,8
C,Rubino,Fiorentina,1
C,Sabiri,Fiorentina,5
C,Saelemaekers,Milan,38
C,Sala,Lecce,9
C,Samardzic,Atalanta,28
C,Serdar,Hellas Verona,21
C,Sohm,Bologna,15
C,Sorensen,Parma,18
C,Sottil,Lecce,21
C,Stanciu,Genoa,4
C,Stengs,Pisa,7
C,Strefezza,Parma,30
C,Sucic,Inter,26
C,Sulemana,Cagliari,12
C,Suslov,Hellas Verona,8
C,Tameze,Torino,18
C,Taylor,Lazio,32
C,Thorsby,Cremonese,23
C,Thorstvedt,Sassuolo,34
C,Thuram,Juventus,37
C,Topalovic,Inter,2
C,Toure,Pisa,22
C,Tramoni,Pisa,32
C,Traore,Milan,2
C,Urbanski,Bologna,2
C,Valoti,Cremonese,8
C,Vandeputte,Cremonese,25
C,Vecino,Lazio,19
C,Vergara,Napoli,10
C,Vlasic,Torino,51
C,Volpato,Sassuolo,22
C,Vos,Milan,2
C,Vranckx,Sassuolo,11
C,Vural,Pisa,8
C,Weah,Juventus,31
C,Yildiz,Hellas Verona,2
C,Zalewski,Atalanta,23
C,Zanimacchia,Cremonese,18
C,Zaniolo,Udinese,38
C,Zarraga,Udinese,9
C,Zeroli,Milan,2
C,Zielinski,Inter,42
A,Aboukhlal,Torino,15
A,Adams,Torino,45
A,Addai,Como,16
A,Afena-Gyan,Cremonese,5
A,Ajayi,Hellas Verona,2
A,Albarracin,Cagliari,4
A,Almqvist,Parma,11
A,Alvarez,Sassuolo,10
A,Ambrosino,Napoli,7
A,Anas,Parma,8
A,Antiste,Sassuolo,3
A,Arena,Pisa,14
A,Arena,Roma,1
A,Azon,Como,7
A,Bailey,Roma,14
A,Bal,Parma,1
A,Balde,Lazio,1
A,Balentien,Milan,2
A,Banda,Lecce,24
A,Bayo,Udinese,8
A,Begic,Parma,6
A,Belotti,Cagliari,7
A,Beltran,Fiorentina,30
A,Benedyczak,Parma,14
A,Berardi,Sassuolo,37
A,Boga,Juventus,24
A,Bonazzoli,Cremonese,34
A,Bonfanti,Pisa,4
A,Bonny,Inter,38
A,Borrelli,Cagliari,28
A,Bowie,Hellas Verona,10
A,Braaf,Hellas Verona,2
A,Bravo,Udinese,8
A,Brekalo,Fiorentina,9
A,Brenner,Udinese,7
A,Buffon,Pisa,1
A,Buksa,Udinese,15
A,Burnete,Lecce,1
A,Camarda,Lecce,11
A,Cambiaghi,Bologna,33
A,Cancellieri,Lazio,17
A,Caprini,Fiorentina,1
A,Castellanos,Lazio,39
A,Castiello,Milan,1
A,Castro,Bologna,45
A,Ceide,Sassuolo,3
A,Cerri,Como,6
A,Charpentier,Parma,8
A,Cheddira,Lecce,11
A,Ciervo,Sassuolo,1
A,Colombo,Genoa,34
A,Conceicao,Juventus,36
A,Cornet,Genoa,9
A,Cruz,Hellas Verona,1
A,Cutrone,Parma,20
A,Dallinga,Bologna,23
A,Damian Pizarro,Udinese,6
A,David,Juventus,59
A,Davis,Udinese,42
A,De Ketelaere,Atalanta,47
A,De Luca,Cremonese,7
A,De Pieri,Inter,1
A,Dia,Lazio,23
A,Diao,Como,17
A,Djuric,Cremonese,15
A,Dominguez,Bologna,16
A,Douvikas,Como,49
A,Dovbyk,Roma,37
A,Durosinmi,Pisa,18
A,Dybala,Roma,48
A,Dzeko,Fiorentina,23
A,Ekhator,Genoa,18
A,Ekuban,Genoa,25
A,Elphege,Parma,8
A,Esposito,Cagliari,34
A,Esposito,Inter,29
A,Felici,Cagliari,11
A,Ferguson,Roma,31
A,Frigan,Parma,8
A,Fullkrug,Milan,55
A,Gabbiani,Cremonese,1
A,Gabellini,Torino,1
A,Gabrielloni,Como,13
A,Gimenez,Milan,25
A,Giovane,Napoli,23
A,Gonzalez,Juventus,39
A,Gudmundsson,Fiorentina,43
A,Gueye,Udinese,5
A,Hojlund,Napoli,55
A,Ikoné,Fiorentina,23
A,Immobile,Bologna,10
A,Isaac,Hellas Verona,6
A,Isaksen,Lazio,33
A,Johnsen,Cremonese,19
A,Joujou,Parma,3
A,Kallon,Hellas Verona,3
A,Karamoh,Torino,13
A,Karlsson,Bologna,16
A,Kean,Fiorentina,55
A,Kilicsoy,Cagliari,25
A,Kouamé,Fiorentina,8
A,Kowalski,Parma,1
A,Krstovic,Atalanta,47
A,Kuhn,Como,22
A,Kulenovic,Torino,11
A,Lambourde,Hellas Verona,4
A,Lang,Napoli,35
A,Lasagna,Hellas Verona,5
A,Laurientè,Sassuolo,37
A,Lavelli,Inter,1
A,Leao,Milan,63
A,Lind,Pisa,21
A,Livramento,Hellas Verona,12
A,Lookman,Atalanta,38
A,Lucca,Napoli,35
A,Lukaku,Napoli,12
A,Luna,Hellas Verona,2
A,Luvumbo,Cagliari,16
A,Malen,Roma,35
A,Man,Parma,26
A,Martinez,Inter,87
A,Mbangula,Juventus,17
A,Meister,Pisa,20
A,Mihaila,Parma,14
A,Milik,Juventus,8
A,Mlakar,Pisa,4
A,Morata,Como,28
A,Morente,Lecce,15
A,Moreo,Pisa,35
A,Moro,Sassuolo,12
A,Morutan,Pisa,3
A,Mosquera,Hellas Verona,21
A,Moumbagna,Cremonese,8
A,Mulattieri,Sassuolo,19
A,Mutandwa,Cagliari,3
A,Nasti,Cremonese,10
A,Ndoye,Bologna,34
A,N’Dri,Lecce,19
A,Neres,Napoli,38
A,Ngonge,Torino,24
A,Njie,Torino,9
A,Nkunku,Milan,54
A,Noslin,Lazio,25
A,Nuredini,Genoa,1
A,Nzola,Sassuolo,19
A,Odgaard,Bologna,26
A,Okafor,Milan,25
A,Okereke,Cremonese,8
A,Ondrejka,Parma,10
A,Openda,Juventus,41
A,Orban,Hellas Verona,36
A,Orsolini,Bologna,47
A,Osimhen,Napoli,68
A,Partipilo,Parma,4
A,Pavoletti,Cagliari,8
A,Pedro,Lazio,33
A,Pellegri,Torino,19
A,Pellegrino,Parma,41
A,Piccoli,Fiorentina,30
A,Pierini,Sassuolo,15
A,Pierotti,Lecce,15
A,Pinamonti,Sassuolo,37
A,Politano,Napoli,37
A,Prelec,Cagliari,4
A,Pugno,Juventus,1
A,Pulisic,Milan,54
A,Raimondo,Bologna,1
A,Raspadori,Atalanta,35
A,Ratkov,Lazio,20
A,Rodriguez,Como,27
A,Rowe,Bologna,21
A,Russo,Sassuolo,1
A,Sanabria,Cremonese,20
A,Santos,Napoli,15
A,Sarmiento,Cremonese,8
A,Sarr,Hellas Verona,21
A,Savva,Torino,1
A,Scamacca,Atalanta,53
A,Simeone,Torino,40
A,Skjellerup,Sassuolo,2
A,Solbakken,Roma,8
A,Solomon,Fiorentina,16
A,Soulé,Roma,50
A,Stojilkovic,Pisa,14
A,Stuckler,Cremonese,6
A,Stulic,Lecce,23
A,Sulemana,Atalanta,23
A,Taremi,Inter,20
A,Tavsan,Hellas Verona,3
A,Thauvin,Udinese,36
A,Thuram,Inter,60
A,Toure,Atalanta,14
A,Tramoni,Pisa,3
A,Trepy,Cagliari,3
A,Tsadjout,Cremonese,8
A,Vardy,Cremonese,27
A,Vaz,Roma,19
A,Vazquez,Cremonese,20
A,Venturino,Roma,3
A,Verdi,Como,9
A,Vignato,Pisa,17
A,Vinciati,Udinese,1
A,Vinciguerra,Cagliari,1
A,Vitinha,Genoa,36
A,Vlahovic,Juventus,24
A,Yildiz,Juventus,64
A,Zaccagni,Lazio,34
A,Zapata,Torino,41
A,Zaragoza,Roma,19
A,Zerbin,Cremonese,18
A,Zhegrova,Juventus,18
